Bloom filter size (MiB);Block size (bytes);bits to sort;Probe size;Hash time (ms);Sort time (ms);Probe time (ms);Total throughput
4;128;31;268435456;10.3374;218.189;15.1769;1047532604
4;128;32;268435456;10.2955;258.577;15.1762;905054993
8;128;1;268435456;10.2901;30.2286;111.386;1632305704
8;128;2;268435456;10.3001;30.4337;53.3764;2516368731
8;128;3;268435456;10.2942;30.8342;15.804;3862691933
8;128;4;268435456;10.2972;31.4482;15.6386;3837846353
8;128;5;268435456;10.29;32.8893;15.4454;3772001301
8;128;6;268435456;10.3012;35.582;15.1997;3645517442
8;128;7;268435456;10.2972;75.7808;15.0569;2361618617
8;128;8;268435456;10.2919;66.0995;15.4729;2571363533
8;128;9;268435456;11.3251;66.2186;15.6808;2538132190
8;128;10;268435456;10.3149;67.1175;15.5248;2544097471
8;128;11;268435456;10.2968;68.4368;15.5289;2513025799
8;128;12;268435456;10.2913;71.1738;15.494;2451178140
8;128;13;268435456;10.2918;111.537;15.3997;1792317201
8;128;14;268435456;10.2996;151.639;15.2895;1414508626
8;128;15;268435456;10.2985;102.138;15.1677;1915343258
8;128;16;268435456;10.3126;102.721;15.0762;1908470562
8;128;17;268435456;10.2905;104.228;15.0818;1888345848
8;128;18;268435456;10.3033;106.864;15.0698;1854108672
8;128;19;268435456;10.2843;147.209;15.0761;1450062214
8;128;20;268435456;10.4308;186.996;15.0829;1192737769
8;128;21;268435456;10.3027;227.404;15.0852;1011639285
8;128;22;268435456;10.2891;138.389;15.075;1522643466
8;128;23;268435456;10.288;139.675;15.0777;1511699142
8;128;24;268435456;10.2974;142.694;15.0688;1486312561
8;128;25;268435456;10.3;182.785;15.0783;1216153884
8;128;26;268435456;10.2999;222.872;15.0752;1029238352
8;128;27;268435456;10.2868;263.176;15.0828;891476874
8;128;28;268435456;10.288;303.245;15.0764;786858190
8;128;29;268435456;10.3;175.455;15.0729;1258084497
8;128;30;268435456;11.8093;177.121;15.1383;1239262137
8;128;31;268435456;10.2908;218.487;15.0791;1046908999
8;128;32;268435456;10.2827;258.726;15.075;904944007
16;128;1;268435456;10.299;30.2608;163.905;1237785241
16;128;2;268435456;10.3039;30.4434;111.393;1630933524
16;128;3;268435456;10.2929;30.8678;53.3938;2509164975
16;128;4;268435456;10.2849;31.4847;15.8627;3832347831
16;128;5;268435456;11.8161;32.4973;16.0279;3690061749
16;128;6;268435456;10.2854;35.6364;15.5022;3634619052
16;128;7;268435456;10.282;75.9045;15.2519;2357765715
16;128;8;268435456;10.3038;65.9762;15.1089;2586119150
16;128;9;268435456;10.2892;66.421;15.5257;2564609949
16;128;10;268435456;10.2919;67.1785;15.5714;2545621036
