Bloom filter size (MiB); Block size (bytes); bits to sort; Probe size ; Hash time (ms); Sort time (ms); Probe time (ms); Total throughput
8;128;10;32;0.019081;0.110558;0.481109;47833
8;128;11;32;0.017944;0.05995;0.25398;84638
8;128;12;32;0.016416;0.060138;0.25346;85608
8;128;13;32;0.015837;0.083835;0.254796;80106
8;128;14;32;0.01513;0.082166;0.253875;80959
8;128;15;32;0.015249;0.083232;0.254722;80339
8;128;16;32;0.016786;0.08691;0.254318;79222
8;128;17;32;0.015304;0.085716;0.253633;80084
8;128;18;32;0.015763;0.082373;0.254265;80818
8;128;19;32;0.015292;0.103679;0.254347;76730
8;128;20;32;0.015894;0.104099;0.254908;76492
8;128;21;32;0.0152;0.103834;0.253785;76884
8;128;22;32;0.015731;0.103734;0.253882;76693
8;128;23;32;0.016167;0.103652;0.254114;76632
8;128;24;32;0.015903;0.104251;0.254282;76453
8;128;25;32;0.01741;0.125523;0.262251;70360
8;128;26;32;0.016673;0.126519;0.25543;71929
8;128;27;32;0.016097;0.125847;0.254712;72352
8;128;28;32;0.016377;0.125912;0.254715;72277
8;128;29;32;0.023776;0.125733;0.253728;71609
8;128;30;32;0.015465;0.125201;0.254451;72615
8;128;31;32;0.016007;0.147351;0.254059;69419
8;128;32;32;0.015459;0.147316;0.253969;69513
16;128;1;32;0.01857;0.038575;0.261176;88049
16;128;2;32;0.018873;0.038954;0.253636;89641
16;128;3;32;0.016564;0.038377;0.262166;88004
16;128;4;32;0.017116;0.038994;0.254495;89740
16;128;5;32;0.017783;0.038586;0.261668;87814
16;128;6;32;0.018549;0.038371;0.263248;86548
16;128;7;32;0.01763;0.060566;0.262963;82631
16;128;8;32;0.018703;0.060198;0.26435;82143
16;128;9;32;0.018006;0.060341;0.262368;82809
16;128;10;32;0.018615;0.059963;0.26496;82298
16;128;11;32;0.017391;0.035304;0.14154;136448
16;128;12;32;0.017738;0.035007;0.140895;136555
16;128;13;32;0.015979;0.046704;0.140808;131581
16;128;14;32;0.018587;0.045779;0.140948;128860
16;128;15;32;0.017079;0.046089;0.141239;128746
16;128;16;32;0.017343;0.046114;0.140639;131417
16;128;17;32;0.015957;0.045392;0.141535;130849
16;128;18;32;0.017136;0.045701;0.141056;131714
16;128;19;32;0.017453;0.056557;0.145244;123410
16;128;20;32;0.018865;0.050337;0.126603;135618
16;128;21;32;0.017705;0.04997;0.123148;138778
16;128;22;32;0.016374;0.049309;0.123319;140201
16;128;23;32;0.016321;0.04928;0.124076;140044
16;128;24;32;0.015986;0.049593;0.123486;140110
16;128;25;32;0.015912;0.059219;0.123426;134849
16;128;26;32;0.016681;0.041155;0.084365;178820
16;128;27;32;0.014913;0.03954;0.094589;173464
16;128;28;32;0.014868;0.039848;0.095777;171590
16;128;29;32;0.01542;0.039448;0.093724;172975
16;128;30;32;0.015268;0.039349;0.095167;172750
16;128;31;32;0.015829;0.045284;0.094834;167909
16;128;32;32;0.015666;0.045559;0.0957;165574
32;128;1;32;0.016544;0.014728;0.084452;212332
32;128;2;32;0.01763;0.013548;0.07635;227150
32;128;3;32;0.016684;0.013473;0.063544;248870
32;128;4;32;0.017772;0.013649;0.063892;244483
32;128;5;32;0.017192;0.013537;0.064482;240400
32;128;6;32;0.017076;0.014527;0.063492;243540
32;128;7;32;0.016587;0.017048;0.064211;241320
32;128;8;32;0.01637;0.017246;0.064459;214612
32;128;9;32;0.017514;0.017157;0.063932;239062
32;128;10;32;0.018268;0.016332;0.063299;241781
32;128;11;32;0.017077;0.017451;0.062972;214954
