Pipeline Cycles|Pipeline Sum Thread Cycles|Pipeline Time|CPU Time|CPU Join Time|CPU ExpOp Time|GPU Probe Time|CPU/GPU Time|Pre Filter Tuples|Filtered Tuples|Pre Join Tuples|Pos Join Tuples|CPUBloomFilter|FilterSize|Slowdown|CPUMorselSize|GPUMorselSize|Selectivity|Streams|TuplesGpuProbe|TuplesGpuConsume
1.1377e+10|1.13385e+11|3.43508|2.37869e+09|1.04106e+11|0|6.21883e+09|1.10647e+11|1073741824|215067776|215067776|214748288|1|536870912|0|16384|16777216|20|4|1060039338|1060039338
1.14068e+10|1.13569e+11|3.44407|3.30865e+09|1.04048e+11|0|7.35345e+09|1.09895e+11|1073741824|215067776|215067776|214748288|1|536870912|0|16384|16777216|20|6|1054223018|1054223018
1.15153e+10|1.14413e+11|3.47685|4.35819e+09|1.04591e+11|0|9.11744e+09|1.09665e+11|1073741824|215067776|215067776|214748288|1|536870912|0|16384|16777216|20|8|1048106325|1048106325
1.15524e+10|1.14234e+11|3.48806|4.71036e+09|1.04279e+11|0|2.21462e+10|1.09094e+11|1073741824|215067776|215067776|214748288|1|536870912|0|16384|16777216|20|16|1046315008|1046315008
1.53269e+10|1.53123e+11|4.62769|4.44496e+10|1.32109e+11|0|4.31391e+09|1.07568e+11|1073741824|268723200|268723200|268435456|1|536870912|0|16384|16777216|25|1|833219242|833219242
1.38941e+10|1.38695e+11|4.19509|1.41881e+09|1.28019e+11|0|5.62552e+09|1.36914e+11|1073741824|268723200|268723200|268435456|1|536870912|0|16384|16777216|25|2|1067330218|1067330218
1.39621e+10|1.39262e+11|4.21564|2.34437e+09|1.28441e+11|0|6.27619e+09|1.36559e+11|1073741824|268723200|268723200|268435456|1|536870912|0|16384|16777216|25|4|1061890730|1061890730
1.40088e+10|1.39578e+11|4.2297|3.32645e+09|1.28474e+11|0|7.36365e+09|1.35885e+11|1073741824|268723200|268723200|268435456|1|536870912|0|16384|16777216|25|6|1056991914|1056991914
1.40779e+10|1.40135e+11|4.25057|4.22578e+09|1.28888e+11|0|9.08871e+09|1.35538e+11|1073741824|268723200|268723200|268435456|1|536870912|0|16384|16777216|25|8|1052005717|1052005717
1.41304e+10|1.40006e+11|4.26642|4.70182e+09|1.28591e+11|0|2.07307e+10|1.34875e+11|1073741824|268723200|268723200|268435456|1|536870912|0|16384|16777216|25|16|1049985024|1049985024
